lyric,occurence,pos
moonlight,26,N
places,26,N
rap,26,N
remind,26,V
rush,26,N
snap,26,V
spending,26,VG
teach,26,V
truck,26,N
watching,26,VG
yet,26,ADV
'till,25,P
alejandro,25,
bounce,25,N
brought,25,VD
bullet,25,N
bye,25,V
chris,25,
counting,25,VG
dip,25,N
doors,25,N
driving,25,VG
either,25,CNJ
everytime,25,
fade,25,V
hanging,25,VG
hung,25,VD
key,25,N
less,25,DET
loose,25,ADJ
playa,25,
problem,25,N
queen,25,N
runaway,25,ADJ
skies,25,N
stoppin',25,
stopping,25,VG
tattoo,25,
umbrella,25,N
whoo,25,
wrote,25,VD
anyone,24,PRO
ay-ay-ay,24,
begin,24,V
blow-oh-oh-oh,24,
breathing,24,VG
bugatti,24,
c'mon,24,
choose,24,V
crew,24,N
crib,24,N
d,24,
deny,24,V
double,24,ADJ
earth,24,N
few,24,DET
flashing,24,VG
future,24,N
goin,24,VG
hi,24,
homie,24,
looks,24,VBZ
louis,24,
luck,24,N
mall,24,N
mary,24,
na-na-na-na,24,
nose,24,N
obban,24,
oh-whoa,24,
rack-rack,24,
shining,24,VG
sitting,24,VG
snow,24,N
stops,24,N
talks,24,N
very,24,DET
war,24,N
wet,24,ADJ
whoo-ooh,24,
10,23,NUM
angels,23,N
become,23,V
breaking,23,VG
bust,23,N
cannot,23,MOD
chill,23,N
clap,23,N
cop,23,N
corner,23,N
crying,23,VG
dancin',23,
deal,23,N
distance,23,N
downtown,23,N
fake,23,ADJ
finger,23,N
follow,23,V
haven't,23,V
he'll,23,PRO
hour,23,N
international,23,ADJ
knock,23,V
longer,23,ADV
luv,23,
maker,23,N
miles,23,N
movin',23,
mrs,23,
oo,23,
park,23,N
peace,23,N
realized,23,VD
rich,23,ADJ
rida,23,
shadow,23,N
shawty's,23,
sink,23,V
somehow,23,ADV
stress,23,N
stripper,23,
tip,23,N
wings,23,N
anyway,22,ADV
beauty,22,N
begging,22,VG
busy,22,ADJ
college,22,N
dale,22,
demons,22,N
doin,22,VG
drama,22,N
fairytale,22,
faith,22,N
hiding,22,VG
holdin',22,VG
honestly,22,ADV
hoo,22,
killing,22,N
later,22,ADV
lick,22,V
needed,22,VN
pretend,22,V
regret,22,V
rude,22,ADJ
sail,22,V
scars,22,N
steal,22,V
strip,22,N
stuff,22,N
toes,22,N
tv,22,
whip,22,N
you's,22,PRO
applause,21,N
arm,21,N
asked,21,VD
bend,21,V
burnin',21,
buzz,21,N
cross,21,V
dive,21,N
dog,21,N
ear,21,N
fair,21,ADJ
famous,21,ADJ
fit,21,V
games,21,N
heat,21,N
iz,21,
jet,21,N
justin,21,
knees,21,N
leavin',21,
means,21,N
minutes,21,N
nappy,21,
nicki,21,
paid,21,VN
ridin,21,
sang,21,VD
screaming,21,VG
send,21,V
sister,21,N
six,21,NUM
smell,21,N
smiling,21,VG
spent,21,VN
stack,21,N
telephone,21,N
thanks,21,N
walls,21,N
whataya,21,
woo,21,V
worst,21,ADJ
year,21,N
york,21,
according,20,P
against,20,P
beach,20,N
beside,20,P
bite,20,V
cadillac,20,
case,20,N
confused,20,VN
cried,20,VD
dangerous,20,ADJ
explain,20,V
fan,20,N
fat,20,ADJ
field,20,N
flame,20,N
flossy,20,
gas,20,N
grey,20,ADJ
gurl,20,
hello,20,UH
i-i-i,20,
ima,20,
lane,20,N
lives,20,N
lollipop,20,
mah,20,PRO
nothing's,20,
order,20,N
paint,20,N
paradise,20,N
pieces,20,N
planet,20,N
pray,20,V
race,20,N
rise,20,N
sanai,20,
seven,20,NUM
shaking,20,VG
shakira,20,
sippin',20,
sounds,20,N
special,20,ADJ
spit,20,V
stage,20,N
stoppin,20,
system,20,N
takin',20,VG
throwin',20,VG
uno,20,
wheel,20,N
whoa-oh,20,
wondering,20,VG
ye,20,PRO
yep,20,
a-shake,19,
acting,19,VG
bein',19,V
breakin',19,
camera,19,N
cares,19,VBZ
changing,19,VG
clouds,19,N
count,19,V
daddy's,19,
delicious,19,ADJ
drum,19,N
fantasy,19,N
feelings,19,N
forgot,19,VD
g,19,N
glue,19,N
habit,19,N
heels,19,N
held,19,VN
insane,19,ADJ
kicks,19,VBZ
legs,19,N
liquor,19,N
lovin,19,VG
ma,19,N
miami,19,
movie,19,N
needs,19,N
nightmare,19,N
ooooh,19,
pack,19,N
patron,19,N
peter,19,
pool,19,N
quit,19,V
seduction,19,N
shakin',19,
standin',19,VG
stayed,19,VD
superstar,19,
swag,19,
swallow,19,V
teeth,19,N
waking,19,VG
weezy,19,
welcome,19,ADJ
whatchu,19,
whisper,19,N
windows,19,N
'head,18,
ahh,18,
blowin',18,
bones,18,N
bow,18,N
business,18,N
careful,18,ADJ
changed,18,VN
dawn,18,N
dime,18,N
dogg,18,
dying,18,VG
everything's,18,PRO
family,18,N
fault,18,N
fi,18,
foreign,18,ADJ
format,18,N
givin',18,VG
grown,18,VN
gucci,18,
guitar,18,N
havin',18,
holiday,18,N
hustla,18,
limit,18,N
mood,18,N
naked,18,ADJ
oohh,18,
oooo,18,
papa-paparazzi,18,
para-para-paradise,18,
pictures,18,N
pitbull,18,
pulled,18,VD
quite,18,DET
raised,18,VN
replay,18,
roar,18,N
rocking,18,N
ruff,18,
rule,18,N
seats,18,N
sell,18,V
sensual,18,ADJ
showed,18,VD
shy,18,ADJ
south,18,N
stone,18,N
