lyric,occurence,pos
music,4,N
nasty,4,ADJ
nice,4,ADJ
nodding,4,VG
park,4,N
party's,4,N
pictures,4,N
pole,4,N
poner,4,
ponte,4,
poppin',4,
pow,4,
precious,4,ADJ
probably,4,ADV
psychotic,4,ADJ
question,4,N
reach,4,V
rihanna,4,
sammie],4,
save,4,V
saving,4,VG
seem,4,V
sexin',4,
shield,4,N
shine,4,N
shirt,4,N
shot,4,N
showin',4,VG
sight,4,N
sit,4,V
skies,4,N
smoke,4,N
someday,4,ADV
soo,4,
space,4,N
speak,4,V
spending,4,VG
stage,4,N
starin',4,
strong,4,ADJ
stuff,4,N
suck,4,V
superstar,4,
swallow,4,V
sweep,4,N
takes,4,VBZ
taped,4,VN
te,4,
tear,4,V
though,4,CNJ
thousand,4,NUM
throwin',4,VG
tiene,4,
timbaland,4,
tired,4,VN
took,4,VD
tool,4,N
trippin',4,
united,4,VN
verdad,4,
voy,4,
wash,4,N
wasn't,4,V
wear,4,V
whip,4,N
woman-womanizer,4,
wondering,4,VG
wouldn't,4,MOD
'proachin,3,
305,3,
678,3,
999-8212,3,
able,3,ADJ
actress,3,N
against,3,P
altered,3,VN
angel,3,N
angry,3,ADJ
anymore,3,ADV
askin',3,
bang,3,V
barfight,3,
battle,3,N
become,3,V
beg,3,V
bein',3,V
bells,3,N
bet,3,V
biggest,3,ADJ
bite,3,V
blows,3,VBZ
britney,3,
brown,3,ADJ
burn,3,V
bye,3,V
calling,3,VG
cameras,3,N
candle,3,N
candles,3,N
cavalry,3,N
charmin',3,
chaser,3,
cheap,3,ADJ
checkin',3,VG
checking,3,VG
child,3,N
choirs,3,
cigarette,3,N
clear,3,ADJ
clouds,3,N
coaster,3,
complex,3,ADJ
confusin',3,VG
conversation,3,N
cord,3,N
correct,3,ADJ
cross,3,V
cut,3,V
daddy,3,
dancing,3,VG
darkness,3,N
destroyed,3,VN
dive,3,N
dizzy,3,ADJ
dj,3,
dollars,3,N
donate,3,V
dope,3,N
dreaming,3,VG
dress,3,N
dropped,3,VD
drove,3,VD
east,3,N
embrace,3,V
enemies,3,N
faded,3,VN
falter,3,V
fate,3,N
fell,3,VD
fellas,3,N
few,3,DET
field,3,N
filled,3,VN
fireflies,3,
fix,3,V
floating,3,VG
floods,3,N
flow,3,N
foreign,3,ADJ
forgive,3,V
forgiveness,3,N
freak,3,N
gets,3,VBZ
girlfriend,3,
go-o,3,
goin,3,VG
goodnight,3,UH
grab,3,V
guilty,3,ADJ
hangin',3,VG
happen,3,V
happy,3,ADJ
haunted,3,VN
held,3,VN
helen,3,
hesitate,3,V
hollerin',3,
holster,3,N
homie,3,
homies,3,
hop,3,
hopped,3,VD
hour,3,N
impress,3,V
it'll,3,PRO
jay-z,3,
jerusalem,3,
jewelery,3,
juliet,3,
keller,3,
kevin,3,
key,3,N
killa,3,
lady,3,N
lame,3,ADJ
lap,3,N
laugh,3,N
lead,3,V
leaving,3,VG
lefts,3,
level,3,N
line,3,N
linger,3,V
